ID_Empleado,Periodo_Evaluacion,Score_Desempeno,Score_Potencial
EMP-0124,Periodo_2025,4,Medio
EMP-0125,Periodo_2023,4,Medio
EMP-0125,Periodo_2024,3,Alto
EMP-0125,Periodo_2025,1,Medio
EMP-0126,Periodo_2023,4,Alto
EMP-0126,Periodo_2024,4,Bajo
EMP-0126,Periodo_2025,4,Bajo
EMP-0127,Periodo_2023,4,Medio
EMP-0127,Periodo_2024,4,Medio
EMP-0127,Periodo_2025,5,Medio
EMP-0128,Periodo_2023,3,Medio
EMP-0128,Periodo_2024,3,Medio
EMP-0128,Periodo_2025,1,Medio
EMP-0129,Periodo_2023,4,Medio
EMP-0129,Periodo_2024,3,Medio
EMP-0129,Periodo_2025,4,Medio
EMP-0130,Periodo_2023,5,Alto
EMP-0130,Periodo_2024,3,Medio
EMP-0130,Periodo_2025,4,Alto
EMP-0131,Periodo_2023,4,Medio
EMP-0131,Periodo_2024,1,Medio
EMP-0131,Periodo_2025,2,Medio
EMP-0132,Periodo_2023,3,Bajo
EMP-0132,Periodo_2024,3,Bajo
EMP-0132,Periodo_2025,1,Alto
EMP-0133,Periodo_2023,3,Medio
EMP-0133,Periodo_2024,2,Medio
EMP-0133,Periodo_2025,3,Bajo
EMP-0134,Periodo_2023,1,Alto
EMP-0134,Periodo_2024,1,Bajo
EMP-0134,Periodo_2025,4,Medio
EMP-0135,Periodo_2023,4,Bajo
EMP-0135,Periodo_2024,3,Medio
EMP-0135,Periodo_2025,5,Bajo
EMP-0136,Periodo_2023,3,Bajo
EMP-0136,Periodo_2024,2,Alto
EMP-0136,Periodo_2025,2,Alto
EMP-0137,Periodo_2023,2,Alto
EMP-0137,Periodo_2024,3,Alto
EMP-0137,Periodo_2025,2,Medio
EMP-0138,Periodo_2023,3,Medio
EMP-0138,Periodo_2024,4,Medio
EMP-0138,Periodo_2025,4,Medio
EMP-0139,Periodo_2023,3,Alto
EMP-0139,Periodo_2024,3,Medio
EMP-0139,Periodo_2025,5,Medio
EMP-0140,Periodo_2023,3,Medio
EMP-0140,Periodo_2024,4,Alto
EMP-0140,Periodo_2025,5,Medio
EMP-0141,Periodo_2023,3,Bajo
EMP-0141,Periodo_2024,2,Bajo
EMP-0141,Periodo_2025,1,Alto
EMP-0142,Periodo_2023,4,Medio
EMP-0142,Periodo_2024,5,Alto
EMP-0142,Periodo_2025,3,Medio
EMP-0143,Periodo_2023,2,Medio
EMP-0143,Periodo_2024,2,Medio
EMP-0143,Periodo_2025,5,Medio
EMP-0144,Periodo_2023,2,Medio
EMP-0144,Periodo_2024,3,Bajo
EMP-0144,Periodo_2025,2,Alto
EMP-0145,Periodo_2023,3,Alto
EMP-0145,Periodo_2024,2,Medio
EMP-0145,Periodo_2025,1,Medio
EMP-0146,Periodo_2023,4,Medio
EMP-0146,Periodo_2024,1,Bajo
EMP-0146,Periodo_2025,2,Medio
EMP-0147,Periodo_2023,3,Medio
EMP-0147,Periodo_2024,4,Alto
EMP-0147,Periodo_2025,4,Bajo
EMP-0148,Periodo_2023,2,Medio
EMP-0148,Periodo_2024,1,Medio
EMP-0148,Periodo_2025,2,Medio
EMP-0149,Periodo_2023,3,Medio
EMP-0149,Periodo_2024,2,Alto
EMP-0149,Periodo_2025,2,Medio
EMP-0150,Periodo_2023,3,Bajo
EMP-0150,Periodo_2024,2,Alto
EMP-0150,Periodo_2025,5,Medio
EMP-0151,Periodo_2023,4,Medio
EMP-0151,Periodo_2024,3,Alto
EMP-0151,Periodo_2025,4,Medio
EMP-0152,Periodo_2023,3,Medio
EMP-0152,Periodo_2024,3,Medio
EMP-0152,Periodo_2025,3,Bajo
EMP-0153,Periodo_2023,4,Medio
EMP-0153,Periodo_2024,4,Alto
EMP-0153,Periodo_2025,3,Medio
EMP-0154,Periodo_2023,3,Alto
EMP-0154,Periodo_2024,2,Alto
EMP-0154,Periodo_2025,3,Bajo
EMP-0155,Periodo_2023,3,Medio
EMP-0155,Periodo_2024,3,Medio
EMP-0155,Periodo_2025,4,Medio
EMP-0156,Periodo_2023,3,Medio
EMP-0156,Periodo_2024,3,Medio
EMP-0156,Periodo_2025,3,Alto
EMP-0157,Periodo_2023,3,Alto
EMP-0157,Periodo_2024,3,Alto
EMP-0157,Periodo_2025,1,Medio
EMP-0158,Periodo_2023,3,Alto
EMP-0158,Periodo_2024,2,Alto
EMP-0158,Periodo_2025,2,Bajo
EMP-0159,Periodo_2023,2,Medio
EMP-0159,Periodo_2024,4,Medio
EMP-0159,Periodo_2025,2,Bajo
EMP-0160,Periodo_2023,4,Bajo
EMP-0160,Periodo_2024,3,Medio
EMP-0160,Periodo_2025,4,Bajo
EMP-0161,Periodo_2023,2,Medio
EMP-0161,Periodo_2024,4,Alto
EMP-0161,Periodo_2025,4,Alto
EMP-0162,Periodo_2023,3,Medio
EMP-0162,Periodo_2024,2,Medio
EMP-0162,Periodo_2025,4,Alto
EMP-0163,Periodo_2023,3,Medio
EMP-0163,Periodo_2024,3,Medio
EMP-0163,Periodo_2025,3,Medio
EMP-0164,Periodo_2023,2,Alto
EMP-0164,Periodo_2024,5,Medio
EMP-0164,Periodo_2025,3,Medio
EMP-0165,Periodo_2023,3,Bajo
EMP-0165,Periodo_2024,5,Medio
EMP-0165,Periodo_2025,3,Medio
EMP-0166,Periodo_2023,3,Medio
EMP-0166,Periodo_2024,3,Medio
EMP-0166,Periodo_2025,3,Alto
EMP-0167,Periodo_2023,4,Bajo
EMP-0167,Periodo_2024,1,Medio
EMP-0167,Periodo_2025,2,Alto
EMP-0168,Periodo_2023,3,Medio
EMP-0168,Periodo_2024,3,Alto
EMP-0168,Periodo_2025,5,Medio
EMP-0169,Periodo_2023,3,Bajo
EMP-0169,Periodo_2024,2,Bajo
EMP-0169,Periodo_2025,3,Medio
EMP-0170,Periodo_2023,4,Alto
EMP-0170,Periodo_2024,1,Medio
EMP-0170,Periodo_2025,3,Medio
EMP-0171,Periodo_2023,3,Medio
EMP-0171,Periodo_2024,3,Medio
EMP-0171,Periodo_2025,3,Bajo
EMP-0172,Periodo_2023,1,Bajo
EMP-0172,Periodo_2024,3,Medio
EMP-0172,Periodo_2025,2,Bajo
EMP-0173,Periodo_2023,4,Medio
EMP-0173,Periodo_2024,4,Alto
EMP-0173,Periodo_2025,2,Bajo
EMP-0174,Periodo_2023,3,Alto
EMP-0174,Periodo_2024,3,Medio
EMP-0174,Periodo_2025,1,Medio
EMP-0175,Periodo_2023,3,Medio
EMP-0175,Periodo_2024,4,Medio
EMP-0175,Periodo_2025,3,Medio
EMP-0176,Periodo_2023,3,Alto
EMP-0176,Periodo_2024,3,Medio
EMP-0176,Periodo_2025,4,Alto
EMP-0177,Periodo_2023,2,Medio
EMP-0177,Periodo_2024,3,Alto
EMP-0177,Periodo_2025,5,Bajo
EMP-0178,Periodo_2023,3,Alto
EMP-0178,Periodo_2024,3,Medio
EMP-0178,Periodo_2025,2,Medio
EMP-0179,Periodo_2023,3,Medio
EMP-0179,Periodo_2024,2,Alto
EMP-0179,Periodo_2025,1,Bajo
EMP-0180,Periodo_2023,4,Medio
EMP-0180,Periodo_2024,3,Medio
EMP-0180,Periodo_2025,3,Medio
EMP-0181,Periodo_2023,1,Medio
EMP-0181,Periodo_2024,1,Alto
EMP-0181,Periodo_2025,2,Medio
EMP-0182,Periodo_2023,1,Bajo
EMP-0182,Periodo_2024,3,Medio
EMP-0182,Periodo_2025,3,Medio
EMP-0183,Periodo_2023,2,Medio
EMP-0183,Periodo_2024,2,Bajo
EMP-0183,Periodo_2025,4,Alto
EMP-0184,Periodo_2023,3,Alto
EMP-0184,Periodo_2024,5,Bajo
EMP-0184,Periodo_2025,4,Medio
EMP-0185,Periodo_2023,4,Medio
EMP-0185,Periodo_2024,2,Medio
EMP-0185,Periodo_2025,1,Alto
EMP-0186,Periodo_2023,2,Medio
EMP-0186,Periodo_2024,1,Medio
EMP-0186,Periodo_2025,3,Bajo
EMP-0187,Periodo_2023,3,Medio
EMP-0187,Periodo_2024,1,Medio
EMP-0187,Periodo_2025,4,Bajo
EMP-0188,Periodo_2023,2,Bajo
EMP-0188,Periodo_2024,1,Medio
EMP-0188,Periodo_2025,2,Medio
EMP-0189,Periodo_2023,2,Medio
EMP-0189,Periodo_2024,4,Bajo
EMP-0189,Periodo_2025,1,Bajo
EMP-0190,Periodo_2023,3,Bajo
EMP-0190,Periodo_2024,3,Bajo
EMP-0190,Periodo_2025,2,Bajo
EMP-0191,Periodo_2023,3,Bajo
EMP-0191,Periodo_2024,3,Medio
EMP-0191,Periodo_2025,3,Medio
EMP-0192,Periodo_2023,4,Medio
EMP-0192,Periodo_2024,5,Medio
EMP-0192,Periodo_2025,2,Medio
EMP-0193,Periodo_2023,3,Medio
EMP-0193,Periodo_2024,1,Medio
EMP-0193,Periodo_2025,5,Medio
EMP-0194,Periodo_2023,5,Medio
EMP-0194,Periodo_2024,2,Medio
EMP-0194,Periodo_2025,3,Medio
EMP-0195,Periodo_2023,3,Medio
EMP-0195,Periodo_2024,1,Medio
EMP-0195,Periodo_2025,3,Alto
EMP-0196,Periodo_2023,3,Alto
EMP-0196,Periodo_2024,3,Bajo
EMP-0196,Periodo_2025,3,Medio
EMP-0197,Periodo_2023,5,Medio
EMP-0197,Periodo_2024,5,Alto
EMP-0197,Periodo_2025,3,Medio
EMP-0198,Periodo_2023,3,Medio
EMP-0198,Periodo_2024,3,Medio
EMP-0198,Periodo_2025,3,Bajo
EMP-0199,Periodo_2023,3,Alto
EMP-0199,Periodo_2024,3,Medio
EMP-0199,Periodo_2025,3,Medio
EMP-0200,Periodo_2023,3,Alto
EMP-0200,Periodo_2024,5,Alto
EMP-0200,Periodo_2025,2,Medio
EMP-0201,Periodo_2023,5,Alto
EMP-0201,Periodo_2024,5,Medio
EMP-0201,Periodo_2025,3,Bajo
EMP-0202,Periodo_2023,4,Medio
EMP-0202,Periodo_2024,2,Medio
EMP-0202,Periodo_2025,3,Medio
EMP-0203,Periodo_2023,2,Medio
EMP-0203,Periodo_2024,2,Medio
EMP-0203,Periodo_2025,5,Medio
EMP-0204,Periodo_2023,4,Medio
EMP-0204,Periodo_2024,3,Medio
EMP-0204,Periodo_2025,5,Medio
EMP-0205,Periodo_2023,3,Medio
EMP-0205,Periodo_2024,4,Bajo
EMP-0205,Periodo_2025,1,Alto
EMP-0206,Periodo_2023,5,Medio
EMP-0206,Periodo_2024,3,Medio
EMP-0206,Periodo_2025,3,Alto
EMP-0207,Periodo_2023,2,Medio
EMP-0207,Periodo_2024,5,Medio
EMP-0207,Periodo_2025,4,Medio
EMP-0208,Periodo_2023,4,Alto
EMP-0208,Periodo_2024,3,Alto
EMP-0208,Periodo_2025,5,Alto
EMP-0209,Periodo_2023,3,Medio
EMP-0209,Periodo_2024,3,Medio
EMP-0209,Periodo_2025,3,Medio
EMP-0210,Periodo_2023,4,Medio
EMP-0210,Periodo_2024,4,Alto
EMP-0210,Periodo_2025,3,Medio
EMP-0211,Periodo_2023,3,Bajo
EMP-0211,Periodo_2024,1,Alto
EMP-0211,Periodo_2025,1,Alto
EMP-0212,Periodo_2023,5,Medio
EMP-0212,Periodo_2024,3,Medio
EMP-0212,Periodo_2025,3,Alto
EMP-0213,Periodo_2023,1,Medio
EMP-0213,Periodo_2024,3,Bajo
EMP-0213,Periodo_2025,4,Medio
EMP-0214,Periodo_2023,3,Bajo
EMP-0214,Periodo_2024,3,Alto
EMP-0214,Periodo_2025,2,Medio
EMP-0215,Periodo_2023,4,Medio
EMP-0215,Periodo_2024,3,Bajo
EMP-0215,Periodo_2025,1,Bajo
EMP-0216,Periodo_2023,5,Alto
EMP-0216,Periodo_2024,1,Medio
EMP-0216,Periodo_2025,1,Alto
EMP-0217,Periodo_2023,3,Medio
EMP-0217,Periodo_2024,3,Medio
EMP-0217,Periodo_2025,3,Bajo
EMP-0218,Periodo_2023,1,Medio
EMP-0218,Periodo_2024,4,Medio
EMP-0218,Periodo_2025,1,Alto
EMP-0219,Periodo_2023,2,Bajo
EMP-0219,Periodo_2024,4,Medio
